text,label,bias_terms,target_group,severity,safer_text,label_id
Dân gian hay nói người Huế nói giọng lơ lớ khó nghe.,Regional Bias,"giọng lơ lớ, khó nghe",Người Huế,low,"Hãy đánh giá mỗi người qua hành động và phẩm chất của họ, không phải quê quán.",12
"Ông bà tôi hay nói nông dân thì chỉ biết cày ruộng, biết gì mà ý kiến.",Occupation Bias,biết gì mà ý kiến,nông dân,high,Nông dân có kiến thức sâu rộng về nông nghiệp và hoàn toàn có quyền tham gia thảo luận xã hội.,4
"Cứ nhìn vào dân Quảng là thấy không dễ chơi, phải quen lâu mới gần được.",Regional Bias,"khó gần, thiếu cởi mở",Người Quảng Nam,low,"Mỗi người có cá tính riêng, không nên đánh giá dựa trên xuất thân vùng miền.",12
Xã hội mình hay quan niệm thằng đó học dốt nên chỉ làm được công nhân thôi.,Occupation Bias,"học dốt, chỉ làm được",công nhân,high,Người làm công nhân có kỹ năng và đóng góp quan trọng cho xã hội.,4
Tôi thấy người phụ nữ phụ nữ mà không lo được gia đình thì sự nghiệp để làm gì.,Gender Bias,"không lo gia đình, sự nghiệp",phụ nữ,high,Định kiến giới gây ra bất bình đẳng và tổn hại cho cả xã hội.,1
Nhóm nghiên cứu chia sẻ thông tin y tế. vào cuối tháng.,Non-bias,none,none,low,Nhóm nghiên cứu chia sẻ thông tin y tế. vào cuối tháng.,0
Người ngực phẳng mặc áo trông không đẹp.,Appearance Bias,"ngực phẳng, ngực nhỏ",phụ nữ ngực nhỏ,high,Mọi hình dáng cơ thể đều đẹp và không nên bị so sánh hay phán xét.,11
Đội ngũ kỹ thuật kiểm tra hệ thống. ở buổi họp.,Non-bias,none,none,low,Đội ngũ kỹ thuật kiểm tra hệ thống. ở buổi họp.,0
cha mẹ đơn thân thường bị nhận xét là khó cân bằng cuộc sống.,Marital/Family Status Bias,khó cân bằng cuộc sống,cha mẹ đơn thân,low,Không có bằng chứng cho việc áp dụng định kiến này cho mọi cá nhân.,8
học sinh trường thường thường ít hiểu biết nên không nên giao việc quan trọng.,Educational Bias,ít hiểu biết,học sinh trường thường,medium,Không nên đánh giá năng lực hay cơ hội của một người chỉ dựa trên học vấn hoặc loại trường đã học.,5
Nhóm nghiên cứu chia sẻ thông tin y tế. theo kế hoạch.,Non-bias,none,none,low,Nhóm nghiên cứu chia sẻ thông tin y tế. theo kế hoạch.,0
Mặt xấu thế này làm sao xin việc được.,Appearance Bias,"mặt xấu, ngoại hình xấu",người bị coi là kém hấp dẫn,high,Năng lực làm việc không liên quan đến ngoại hình khuôn mặt.,11
Phụ nữ phụ nữ mà đàm phán kinh doanh thì yếu thế hơn đàn ông.,Gender Bias,đàm phán yếu thế hơn,phụ nữ,high,"Hãy đánh giá con người qua hành động và phẩm chất, không qua giới tính.",1
Có định kiến rằng người phản biện chính sách luôn không phù hợp vị trí lãnh đạo.,Political Bias,không phù hợp vị trí lãnh đạo,người phản biện chính sách,high,Tránh suy diễn tính cách từ lập trường hoặc mức độ quan tâm chính trị.,9
cha mẹ đơn thân thường bị nhận xét là khó xây dựng gia đình.,Marital/Family Status Bias,khó xây dựng gia đình,cha mẹ đơn thân,medium,Đặc điểm nền tảng không quyết định năng lực hay giá trị con người.,8
công chức bị gắn nhãn là không khách quan trong tranh luận.,Political Bias,không khách quan,công chức,medium,Cần xem xét bối cảnh thay vì dùng kết luận khái quát.,9
Ông bà tôi hay nói người làm in lụa thì cũng là nghề thấp kém.,Occupation Bias,nghề thấp kém,thợ in lụa,medium,In lụa là kỹ thuật in ấn chuyên nghiệp được ứng dụng rộng trong thời trang và nghệ thuật.,4
"Người không có điều kiện mà bàn về phong cách sống, nghe lạ tai ghê.",Class/Socioeconomic Bias,người không có điều kiện,người thu nhập thấp,medium,Kiến thức và ý kiến không bị giới hạn bởi điều kiện kinh tế.,3
người ly hôn thường bị nhận xét là khó xây dựng gia đình.,Marital/Family Status Bias,khó xây dựng gia đình,người ly hôn,medium,Nên sử dụng ngôn ngữ trung lập và tôn trọng hơn.,8
Ông bà tôi hay nói mấy anh chạy Grab xe ôm thì học được gì mà làm.,Occupation Bias,học được gì mà làm,tài xế xe ôm công nghệ,medium,Tài xế xe ôm công nghệ có kinh nghiệm vận hành và dịch vụ khách hàng thực tiễn đáng giá.,4
"Chẳng ai phủ nhận được người cố đô hay khách sáo, không thật lòng.",Regional Bias,"khách sáo, không thật lòng",Người Huế,medium,"Tính cách con người phụ thuộc vào nhiều yếu tố cá nhân, không phải nơi sinh ra.",12
nhóm có ý kiến trái chiều bị gắn nhãn là khó hợp tác trong tranh luận.,Political Bias,khó hợp tác,nhóm có ý kiến trái chiều,medium,Việc tham gia thảo luận chính trị không quyết định mức độ đáng tin cậy.,9
"Nghe nói làm nông thì cả đời bần hàn, không khá nổi.",Occupation Bias,"cả đời bần hàn, không khá nổi",nông dân,high,Nông dân có thể áp dụng công nghệ và kinh doanh nông nghiệp để đạt thu nhập tốt.,4
người không có bằng cấp cao thường khó cạnh tranh nên không nên giao việc quan trọng.,Educational Bias,khó cạnh tranh,người không có bằng cấp cao,medium,Không nên đánh giá năng lực hay cơ hội của một người chỉ dựa trên học vấn hoặc loại trường đã học.,5
người không tín ngưỡng bị cho là quá bảo thủ trong môi trường làm việc.,Religion/Belief Bias,quá bảo thủ,người không tín ngưỡng,medium,Niềm tin tôn giáo hoặc việc không có tín ngưỡng không phản ánh năng lực hay tính cách của một người.,6
Người già không cần quan tâm đến phát triển bền vững.,Age Bias,"người già, phát triển bền vững",Người cao tuổi,Medium,Mọi thế hệ đều có trách nhiệm với môi trường và tương lai của trái đất.,2
"Nhà quê mà cũng biết chơi đàn à, lạ thật.",Class/Socioeconomic Bias,nhà quê,người nông thôn,medium,Kỹ năng và năng lực không phụ thuộc vào xuất thân địa lý.,3
"Dân gian hay nói họ đồng tính là tội lỗi, không được xã hội chấp nhận.",Gender Bias,"tội lỗi, không được chấp nhận",người đồng tính,high,Định kiến giới gây ra bất bình đẳng và tổn hại cho cả xã hội.,1
Dân cảng thì ai cũng biết là có tiền rồi cũng tiêu xài không biết giữ.,Regional Bias,"không biết giữ tiền, phung phá",Người Hải Phòng,medium,"Mỗi người là một cá thể độc lập, không đại diện cho tất cả người cùng vùng.",12
Người trên 60 không nên đảm nhận vai trò mentor.,Age Bias,"trên 60, mentor",Người cao tuổi,High,Người lớn tuổi là những mentor tốt nhất nhờ kinh nghiệm phong phú của mình.,2
"Nhiều người nghĩ giáo viên mầm non thì không phải là nghề gì ghê gớm, ai cũng làm được.",Occupation Bias,ai cũng làm được,giáo viên mầm non,high,Giáo viên mầm non có vai trò quan trọng trong phát triển trẻ em và cần đào tạo chuyên nghiệp.,4
Người ở quê chưa biết cách sống hiện đại như người thành phố.,Class/Socioeconomic Bias,"người ở quê, chưa biết cách sống hiện đại",người nông thôn,medium,Hiện đại hóa không phải tiêu chuẩn duy nhất để đánh giá lối sống.,3
Cộng đồng tổ chức chương trình tình nguyện. tại địa phương.,Non-bias,none,none,low,Cộng đồng tổ chức chương trình tình nguyện. tại địa phương.,0
Người cao tuổi thường không nhận ra khi mình sai.,Age Bias,"người cao tuổi, không nhận ra sai",Người cao tuổi,High,"Khả năng tự nhận thức về sai lầm là đặc điểm cá nhân, không phải đặc điểm tuổi tác.",2
Nhiều người nghĩ rằng người phản biện chính sách luôn thiếu hiểu biết.,Political Bias,luôn thiếu hiểu biết,người phản biện chính sách,high,Đối thoại tôn trọng giúp hiểu rõ khác biệt hơn là áp dụng định kiến.,9
Nhiều người nghĩ mấy người làm phục vụ nhà hàng thì không cần học hành gì cả.,Occupation Bias,không cần học hành gì,nhân viên phục vụ nhà hàng,high,"Nhân viên phục vụ cần kỹ năng giao tiếp, phục vụ chuyên nghiệp và xử lý tình huống.",4
"Xã hội mình hay quan niệm thợ hàn xì thì học ít, làm ít, thu nhập cũng thấp thôi.",Occupation Bias,"học ít, làm ít, thu nhập thấp",thợ hàn xì,medium,Thợ hàn lành nghề được trả lương cao trong nhiều ngành công nghiệp đòi hỏi kỹ thuật cao.,4
Chương trình khuyến khích vận động thể chất. trong tuần này.,Non-bias,none,none,low,Chương trình khuyến khích vận động thể chất. trong tuần này.,0
người theo Tin Lành bị cho là quá bảo thủ trong môi trường làm việc.,Religion/Belief Bias,quá bảo thủ,người theo Tin Lành,medium,Niềm tin tôn giáo hoặc việc không có tín ngưỡng không phản ánh năng lực hay tính cách của một người.,6
người không tín ngưỡng bị cho là khó hòa nhập trong môi trường làm việc.,Religion/Belief Bias,khó hòa nhập,người không tín ngưỡng,medium,Niềm tin tôn giáo hoặc việc không có tín ngưỡng không phản ánh năng lực hay tính cách của một người.,6
người theo Công giáo bị cho là khó hòa nhập trong môi trường làm việc.,Religion/Belief Bias,khó hòa nhập,người theo Công giáo,medium,Niềm tin tôn giáo hoặc việc không có tín ngưỡng không phản ánh năng lực hay tính cách của một người.,6
"Mọi người đều nói con gái con gái mà hay chửi thề thì trông hư hỏng, mất nết.",Gender Bias,"hay chửi thề, hư hỏng mất nết",phụ nữ,medium,"Mỗi người có năng lực và phẩm chất riêng, không phụ thuộc vào giới tính.",1
"Người ta vẫn hay nói người Hà Nội hay nói chuyện về quan hệ, quen biết để nhờ vả.",Regional Bias,"quan hệ, ưu ái",Người Hà Nội,medium,Mỗi vùng miền có văn hóa và giá trị riêng đáng được tôn trọng.,12
người ủng hộ chính sách công bị gắn nhãn là không khách quan trong tranh luận.,Political Bias,không khách quan,người ủng hộ chính sách công,medium,Đối thoại tôn trọng giúp hiểu rõ khác biệt hơn là áp dụng định kiến.,9
"Nhà khó khăn mà cũng muốn mua xe máy mới, biết mình là ai chưa?",Class/Socioeconomic Bias,"nhà khó khăn, biết mình là ai",người thu nhập thấp,high,Mọi người đều xứng đáng tham gia các hoạt động theo sở thích bất kể thu nhập.,3
"Con nhà lao động học luật làm gì, ra trường cũng khó có việc tốt.",Class/Socioeconomic Bias,con nhà lao động,người lao động,high,"Chọn ngành học nên dựa trên năng lực và đam mê, không phải hoàn cảnh gia đình.",3
người ủng hộ chính sách công thường bị cho là không khách quan.,Political Bias,không khách quan,người ủng hộ chính sách công,medium,Tránh suy diễn tính cách từ lập trường hoặc mức độ quan tâm chính trị.,9
Dân nghèo hay đổ lỗi cho người khác thay vì cố gắng hơn.,Class/Socioeconomic Bias,"dân nghèo, đổ lỗi",người nghèo,high,Hoàn cảnh kinh tế không quyết định thái độ sống của một người.,3
Các thành viên thảo luận kế hoạch nghỉ lễ. tại địa phương.,Non-bias,none,none,low,Các thành viên thảo luận kế hoạch nghỉ lễ. tại địa phương.,0
Người làm bán vé số thì không hiểu được kinh tế vĩ mô đâu.,Class/Socioeconomic Bias,người làm,lao động phổ thông,high,Nghề nghiệp không xác định khả năng hiểu biết của một người.,3
Có định kiến rằng cử tri trẻ luôn khó hợp tác.,Political Bias,khó hợp tác,cử tri trẻ,medium,Nên tách biệt đánh giá cá nhân với nhận định về lập trường.,9
Gen Z không biết cách viết CV chuyên nghiệp.,Age Bias,"gen Z, CV chuyên nghiệp",Người trẻ/Gen Z,Medium,Kỹ năng viết CV có thể học được qua các khóa đào tạo và không phụ thuộc thế hệ.,2
Người già không nên tham gia các diễn đàn tranh luận.,Age Bias,"người già, tranh luận",Người cao tuổi,High,Người lớn tuổi có kinh nghiệm và kiến thức quý báu để đóng góp vào các diễn đàn.,2
người không tín ngưỡng bị cho là khó hòa nhập trong môi trường làm việc.,Religion/Belief Bias,khó hòa nhập,người không tín ngưỡng,medium,Niềm tin tôn giáo hoặc việc không có tín ngưỡng không phản ánh năng lực hay tính cách của một người.,6
Người da xấu không hợp làm lễ tân.,Appearance Bias,"da xấu, da mụn",người có vấn đề về da,high,"Khả năng làm lễ tân dựa trên kỹ năng và thái độ, không phải làn da.",11
người theo Tin Lành bị cho là khó tiếp cận khoa học trong môi trường làm việc.,Religion/Belief Bias,khó tiếp cận khoa học,người theo Tin Lành,high,Niềm tin tôn giáo hoặc việc không có tín ngưỡng không phản ánh năng lực hay tính cách của một người.,6
Mọi người đều nói người Hà Nội gốc nói giọng Bắc nghe chảnh lắm.,Regional Bias,"giọng Bắc, chảnh",Người miền Bắc,low,Không nên nhìn nhận cả một nhóm người qua lăng kính định kiến.,12
Phụ nữ làm tài xế thì lái xe không khéo bằng đàn ông.,Occupation Bias,không khéo bằng đàn ông,tài xế nữ,high,Kỹ năng lái xe không phân biệt giới tính; nhiều tài xế nữ có hồ sơ an toàn xuất sắc.,4
"Người TP.HCM thì ai cũng biết là ăn chơi, không nghiêm túc trong công việc.",Regional Bias,"ăn chơi, thiếu nghiêm túc",Người miền Nam,high,"Mỗi người là một cá thể độc lập, không đại diện cho tất cả người cùng vùng.",12
"Dân tỉnh mà lên thành phố vào công ty lớn, dễ bị lừa lắm.",Class/Socioeconomic Bias,dân tỉnh,người từ tỉnh,medium,Kinh nghiệm sống không phụ thuộc vào nơi xuất thân.,3
Người làm phụ hồ thì không hiểu được marketing đâu.,Class/Socioeconomic Bias,người làm,lao động phổ thông,high,Nghề nghiệp không xác định khả năng hiểu biết của một người.,3
"Gen Z hay trì hoãn, không có tinh thần trách nhiệm.",Age Bias,"gen Z, trì hoãn",Người trẻ/Gen Z,High,"Tính trì hoãn là vấn đề của cá nhân, không phải đặc điểm của thế hệ.",2
Mấy đại gia Việt thì chủ yếu giàu nhờ quan hệ chứ tài năng gì.,Class/Socioeconomic Bias,"đại gia, giàu nhờ tiêu cực",người giàu,high,Không nên phán xét cách người khác tích lũy tài sản khi thiếu thông tin đầy đủ.,3
Mấy bạn trẻ này không biết ứng xử chuyên nghiệp ở công sở.,Age Bias,"mấy bạn trẻ, ứng xử công sở",Người trẻ,Medium,Kỹ năng ứng xử chuyên nghiệp có thể học và phát triển qua trải nghiệm.,2
Có định kiến rằng người có quan điểm chính trị khác luôn khó hợp tác.,Political Bias,khó hợp tác,người có quan điểm chính trị khác,medium,Cần xem xét bối cảnh thay vì dùng kết luận khái quát.,9
"Bọn trẻ bây giờ hay nhờ AI làm hộ, không chịu tự suy nghĩ.",Age Bias,"bọn trẻ, AI, không tự suy nghĩ",Người trẻ,Medium,Sử dụng công cụ hỗ trợ một cách thông minh là kỹ năng quan trọng trong thời đại số.,2
Người ngoài 55 không nên nhận việc đòi hỏi sáng tạo cao.,Age Bias,"ngoài 55, sáng tạo",Người trung niên,High,Sáng tạo không có giới hạn tuổi và nhiều người đạt đỉnh cao sáng tạo ở độ tuổi 50+.,2
Người ta vẫn hay nói người miền Nam nói giọng nghe quê mùa.,Regional Bias,"giọng quê mùa, phương ngữ",Người miền Nam,low,"Tính cách con người phụ thuộc vào nhiều yếu tố cá nhân, không phải nơi sinh ra.",12
Gen Z không đủ kiên nhẫn để làm nghiên cứu dài hạn.,Age Bias,"gen Z, nghiên cứu dài hạn",Người trẻ/Gen Z,High,Nhiều nhà nghiên cứu trẻ thuộc Gen Z đang thực hiện các công trình khoa học dài hạn.,2
Lớp học tổ chức hoạt động trải nghiệm. trong tuần này.,Non-bias,none,none,low,Lớp học tổ chức hoạt động trải nghiệm. trong tuần này.,0
Có định kiến rằng người phản biện chính sách luôn không khách quan.,Political Bias,không khách quan,người phản biện chính sách,medium,Cần xem xét bối cảnh thay vì dùng kết luận khái quát.,9
Triển lãm trưng bày nhiều tác phẩm mới. trong tuần này.,Non-bias,none,none,low,Triển lãm trưng bày nhiều tác phẩm mới. trong tuần này.,0
"Kinh nghiệm của tôi là dân miền Nam ăn chơi sa đọa, không có nề nếp.",Regional Bias,"sa đọa, không nề nếp",Người Sài Gòn,high,"Tính cách con người phụ thuộc vào nhiều yếu tố cá nhân, không phải nơi sinh ra.",12
Mọi người tham gia buổi tư vấn sức khỏe. vào cuối tháng.,Non-bias,none,none,low,Mọi người tham gia buổi tư vấn sức khỏe. vào cuối tháng.,0
"Nhà thiếu tiền mà cứ mơ chuyện đầu tư chứng khoán, thực tế đi thôi.",Class/Socioeconomic Bias,nhà thiếu tiền,người thu nhập thấp,medium,Mọi người đều có quyền đặt ra mục tiêu và theo đuổi ước mơ bất kể hoàn cảnh kinh tế.,3
Người ở quê chưa biết cách sống hiện đại như người thành phố.,Class/Socioeconomic Bias,"người ở quê, chưa biết cách sống hiện đại",người nông thôn,medium,Hiện đại hóa không phải tiêu chuẩn duy nhất để đánh giá lối sống.,3
Gia đình cùng chuẩn bị bữa tối cuối tuần. trong tuần này.,Non-bias,none,none,low,Gia đình cùng chuẩn bị bữa tối cuối tuần. trong tuần này.,0
Câu chuyện hay gặp là người chuyển giới người chuyển giới không thể nào là phụ nữ thật sự hay đàn ông thật sự.,Gender Bias,không phải thật sự,người chuyển giới,high,"Hãy đánh giá con người qua hành động và phẩm chất, không qua giới tính.",1
"Người không có điều kiện mà bàn về bất động sản, nghe lạ tai ghê.",Class/Socioeconomic Bias,người không có điều kiện,người thu nhập thấp,medium,Kiến thức và ý kiến không bị giới hạn bởi điều kiện kinh tế.,3
Mọi người trong nhà chia sẻ việc dọn dẹp. ở buổi họp.,Non-bias,none,none,low,Mọi người trong nhà chia sẻ việc dọn dẹp. ở buổi họp.,0
người không có con thường bị nhận xét là khó xây dựng gia đình.,Marital/Family Status Bias,khó xây dựng gia đình,người không có con,medium,Không nên đánh giá cá nhân chỉ dựa trên nhóm xã hội hoặc hoàn cảnh của họ.,8
người có niềm tin tâm linh bị cho là khó tiếp cận khoa học trong môi trường làm việc.,Religion/Belief Bias,khó tiếp cận khoa học,người có niềm tin tâm linh,high,Niềm tin tôn giáo hoặc việc không có tín ngưỡng không phản ánh năng lực hay tính cách của một người.,6
"Tôi không thích đàn bà vì con gái nên học sư phạm, không cần thiết học các ngành khó.",Gender Bias,"không cần thiết ngành khó, học sư phạm",phụ nữ,medium,Mọi người đều xứng đáng được tôn trọng bất kể giới tính hay xu hướng tính dục.,1
Cộng đồng tổ chức chương trình tình nguyện. ở buổi họp.,Non-bias,none,none,low,Cộng đồng tổ chức chương trình tình nguyện. ở buổi họp.,0
"Dân tỉnh mà lên thành phố kinh doanh online, dễ bị lừa lắm.",Class/Socioeconomic Bias,dân tỉnh,người từ tỉnh,medium,Kinh nghiệm sống không phụ thuộc vào nơi xuất thân.,3
Người mặt hóp má trông đói ăn thiếu thốn.,Appearance Bias,"hóp má, má lõm",người má hóp,medium,Hình dạng khuôn mặt không phản ánh tình trạng dinh dưỡng.,11
Lễ hội địa phương thu hút nhiều người tham dự. tại địa phương.,Non-bias,none,none,low,Lễ hội địa phương thu hút nhiều người tham dự. tại địa phương.,0
"Nhà quê mà cũng biết lập trình à, lạ thật.",Class/Socioeconomic Bias,nhà quê,người nông thôn,medium,Kỹ năng và năng lực không phụ thuộc vào xuất thân địa lý.,3
Gen Z hay nhảy việc làm mất ổn định cho thị trường lao động.,Age Bias,"gen Z, nhảy việc",Người trẻ/Gen Z,Medium,"Linh hoạt lao động là đặc điểm của thị trường hiện đại, không phải vấn đề của một thế hệ.",2
Người tham dự tìm hiểu về lối sống lành mạnh. ở buổi họp.,Non-bias,none,none,low,Người tham dự tìm hiểu về lối sống lành mạnh. ở buổi họp.,0
"Nhà giàu thì làm gì cũng dễ, chứ nhà nghèo thì vào công ty lớn cũng khó.",Class/Socioeconomic Bias,"nhà giàu, nhà nghèo khó",người nghèo,medium,Điều kiện kinh tế tạo ra lợi thế nhất định nhưng không quyết định hoàn toàn kết quả.,3
người theo Tin Lành bị cho là khó hòa nhập trong môi trường làm việc.,Religion/Belief Bias,khó hòa nhập,người theo Tin Lành,medium,Niềm tin tôn giáo hoặc việc không có tín ngưỡng không phản ánh năng lực hay tính cách của một người.,6
"Nhiều người nghĩ người trồng rau thì không cần học cao, trồng thế nào cũng được.",Occupation Bias,"không cần học cao, trồng thế nào cũng được",người trồng rau,medium,"Nông nghiệp hiện đại đòi hỏi hiểu biết về kỹ thuật canh tác, đất, nước và quản lý dịch bệnh.",4
"Công nhân giày da mà mong có thưởng cuối năm lớn, hơi xa vời.",Class/Socioeconomic Bias,công nhân,công nhân,medium,Mọi người lao động đều xứng đáng có điều kiện làm việc và phúc lợi tốt.,3
Sinh viên tham gia buổi thảo luận học thuật. vào cuối tháng.,Non-bias,none,none,low,Sinh viên tham gia buổi thảo luận học thuật. vào cuối tháng.,0
người H'Mông thường bị cho là ít cơ hội phát triển.,Ethnicity Bias,ít cơ hội phát triển,người H'Mông,low,Không có bằng chứng cho việc áp dụng định kiến này cho mọi cá nhân.,7
Sự kiện văn hóa diễn ra vào cuối tuần. vào cuối tháng.,Non-bias,none,none,low,Sự kiện văn hóa diễn ra vào cuối tuần. vào cuối tháng.,0
Xã hội mình hay quan niệm giặt đồ thuê thì cũng chỉ là nghề hạ đẳng trong xã hội.,Occupation Bias,nghề hạ đẳng,người giặt đồ thuê,high,Không có nghề nghiệp nào là 'hạ đẳng'; mọi lao động hợp pháp đều xứng đáng được tôn trọng.,4
Chẳng ai phủ nhận được dân Hà Nội chỉ biết ăn ngon mặc đẹp chứ không lo làm giàu.,Regional Bias,"hưởng thụ, thiếu thực tế",Người Hà Nội,medium,Mỗi vùng miền có văn hóa và giá trị riêng đáng được tôn trọng.,12
"Thật ra người Sài Gòn xưa thích nhậu nhẹt, không lo chuyện lớn.",Regional Bias,"nhậu nhẹt, thiếu trách nhiệm",Người miền Nam,high,Mỗi vùng miền có văn hóa và giá trị riêng đáng được tôn trọng.,12
Nghe nói kế toán thì chỉ là người làm thuê hạng trung.,Occupation Bias,người làm thuê hạng trung,kế toán viên,medium,Kế toán là nghề chuyên môn quan trọng đòi hỏi kiến thức nghiệp vụ và đạo đức nghề nghiệp cao.,4
Nhân viên cập nhật tiến độ dự án. vào cuối tháng.,Non-bias,none,none,low,Nhân viên cập nhật tiến độ dự án. vào cuối tháng.,0
người hoạt động xã hội bị gắn nhãn là chỉ nói theo đám đông trong tranh luận.,Political Bias,chỉ nói theo đám đông,người hoạt động xã hội,low,Quan điểm chính trị không đủ để kết luận năng lực hay phẩm chất cá nhân.,9
"Bạn tôi kể con gái con gái học kinh tế về làm kế toán thôi, không cần học MBA, thấy đúng thật.",Gender Bias,"không cần học MBA, kế toán",phụ nữ,medium,"Hãy đánh giá con người qua hành động và phẩm chất, không qua giới tính.",1
Người ở quê chưa biết cách sống hiện đại như người thành phố.,Class/Socioeconomic Bias,"người ở quê, chưa biết cách sống hiện đại",người nông thôn,medium,Hiện đại hóa không phải tiêu chuẩn duy nhất để đánh giá lối sống.,3
người có vấn đề sức khỏe tâm thần thường bị gán là không phù hợp vị trí áp lực cao.,Mental Health Bias,không phù hợp vị trí áp lực cao,người có vấn đề sức khỏe tâm thần,high,Mỗi người có trải nghiệm khác nhau nên cần tránh khái quát hóa.,10
"Thật ra phụ nữ Việt Nam phụ nữ mà có nhiều tiền thường khó tính, khó chịu.",Gender Bias,nhiều tiền khó tính khó chịu,phụ nữ,medium,"Giới tính không quyết định khả năng, giá trị hay vai trò của một người.",1
"Ông bà tôi hay nói dịch thuật thì máy móc làm được hết rồi, không cần người.",Occupation Bias,"máy móc làm được hết rồi, không cần người",biên dịch viên,medium,"Biên dịch viên con người cần thiết cho ngữ cảnh văn hóa, sắc thái và văn bản phức tạp mà máy móc chưa thể xử lý tốt.",4
"Nhiều người nghĩ cô bé đó học y mà phí, sau này lấy chồng bỏ nghề thôi.",Occupation Bias,sau này lấy chồng bỏ nghề,bác sĩ nữ,high,Nhiều bác sĩ nữ tiếp tục sự nghiệp lâu dài và đóng góp lớn cho ngành y tế.,4
người bị trầm cảm thường bị gán là không phù hợp vị trí áp lực cao.,Mental Health Bias,không phù hợp vị trí áp lực cao,người bị trầm cảm,high,Đặc điểm nền tảng không quyết định năng lực hay giá trị con người.,10
"Ông ấy chậm chạp lắm, già rồi làm được gì nữa.",Age Bias,"chậm chạp, già rồi",Người cao tuổi,High,Tốc độ làm việc không phải tiêu chí duy nhất đánh giá năng lực.,2
Doanh nghiệp triển khai chương trình đào tạo. theo kế hoạch.,Non-bias,none,none,low,Doanh nghiệp triển khai chương trình đào tạo. theo kế hoạch.,0
người không có bằng cấp cao thường khó thành công nên không nên giao việc quan trọng.,Educational Bias,khó thành công,người không có bằng cấp cao,high,Không nên đánh giá năng lực hay cơ hội của một người chỉ dựa trên học vấn hoặc loại trường đã học.,5
Học trường tỉnh thì bằng cũng không có giá trị gì.,Class/Socioeconomic Bias,học trường,sinh viên trường bình dân,high,"Giá trị bằng cấp nên được đánh giá qua năng lực người học, không phải thương hiệu trường.",3
Mọi người trong nhà chia sẻ việc dọn dẹp. trong chương trình.,Non-bias,none,none,low,Mọi người trong nhà chia sẻ việc dọn dẹp. trong chương trình.,0
Bọn nhỏ không biết ơn những cơ hội mình được nhận.,Age Bias,"bọn nhỏ, không biết ơn",Người trẻ,Medium,"Người trẻ có thể có lòng biết ơn sâu sắc, chỉ là thể hiện theo cách khác.",2
"Nhà quê mà cũng biết nấu ăn theo công thức Tây à, lạ thật.",Class/Socioeconomic Bias,nhà quê,người nông thôn,medium,Kỹ năng và năng lực không phụ thuộc vào xuất thân địa lý.,3
"Cứ nhìn vào dân xứ Quảng là thấy cứng đầu, hay cãi bướng.",Regional Bias,"cứng đầu, cãi bướng",Người Quảng Nam,medium,Không nên nhìn nhận cả một nhóm người qua lăng kính định kiến.,12
Nghe nói người làm nghiên cứu khoa học thì sống xa thực tế lắm.,Occupation Bias,sống xa thực tế,nhà nghiên cứu,medium,Nhà nghiên cứu đóng góp thiết yếu cho tiến bộ xã hội thông qua các giải pháp dựa trên bằng chứng.,4
Người dân tham gia hoạt động địa phương. vào cuối tháng.,Non-bias,none,none,low,Người dân tham gia hoạt động địa phương. vào cuối tháng.,0
người Tày thường bị cho là bị xem là lạc hậu.,Ethnicity Bias,bị xem là lạc hậu,người Tày,high,Không nên đánh giá cá nhân chỉ dựa trên nhóm xã hội hoặc hoàn cảnh của họ.,7
Da bị vảy nến thế kia tránh tiếp xúc ra.,Appearance Bias,"vảy nến, bệnh da liễu",người có bệnh da liễu,high,Vảy nến không lây và người bị vảy nến không cần phải bị tránh né.,11
Nhiều người nghĩ rằng người quan tâm chính trị không phù hợp vị trí lãnh đạo.,Political Bias,không phù hợp vị trí lãnh đạo,người quan tâm chính trị,high,Quan điểm chính trị không đủ để kết luận năng lực hay phẩm chất cá nhân.,9
Tôi không thích người phụ nữ vì mà không lấy chồng trước 30 tuổi thì coi như ế rồi.,Gender Bias,"ế, lấy chồng trước 30",phụ nữ,high,Mọi người đều xứng đáng được tôn trọng bất kể giới tính hay xu hướng tính dục.,1
người không học đại học thường khó cạnh tranh nên không nên giao việc quan trọng.,Educational Bias,khó cạnh tranh,người không học đại học,medium,Không nên đánh giá năng lực hay cơ hội của một người chỉ dựa trên học vấn hoặc loại trường đã học.,5
"Thật ra người phụ nữ con trai học kỹ thuật, con gái học kinh tế hay sư phạm thôi.",Gender Bias,"con trai kỹ thuật, con gái sư phạm",phụ nữ,medium,"Mỗi người có năng lực và phẩm chất riêng, không phụ thuộc vào giới tính.",1
cử tri trẻ bị gắn nhãn là quá cực đoan trong tranh luận.,Political Bias,quá cực đoan,cử tri trẻ,medium,Ý kiến khác nhau không tự động đồng nghĩa với thiếu năng lực.,9
Người không có xe hơi thì chưa phải người thành đạt.,Class/Socioeconomic Bias,người chưa có xe hơi,medium,medium,Thành đạt là khái niệm đa chiều và không nên đo bằng tài sản vật chất.,3
Ăn nhiều như vậy thì mập là đúng rồi.,Appearance Bias,"mập, ăn nhiều",người thừa cân,medium,Không nên phán xét thói quen ăn uống của người khác.,11
người phản biện chính sách bị gắn nhãn là không đáng tin trong tranh luận.,Political Bias,không đáng tin,người phản biện chính sách,high,Nên tách biệt đánh giá cá nhân với nhận định về lập trường.,9
